"time","GEO_ID","NAME","AGG_DESC","AGG_DESC_LABEL","GOVTYPE","GOVTYPE_LABEL","AMOUNT","AMOUNT_CV",
"Year","Geographic identifier code","Geographic Area Name","Aggregate Description","Meaning of Aggregate Description","Type of Government","Meaning of Type of Government","Amount","Coefficent of Variation for Amount (percent)",
"2022","0100000US","United States","SF0174","Expenditure - Intergovernmental Expenditure - To Local Government - Federal and State Forestry","002","State","429535","0.00",
"2022","0100000US","United States","SF0175","Expenditure - Intergovernmental Expenditure - To Local Government - Natural Resources, Other","002","State","3263647","0.00",
"2022","0100000US","United States","SF0176","Expenditure - Intergovernmental Expenditure - To Local Government - Parking Facilities","002","State","0","0.00",
"2022","0100000US","United States","SF0177","Expenditure - Intergovernmental Expenditure - To Local Government - Parks and Recreation","002","State","1570086","0.00",
"2022","0100000US","United States","SF0178","Expenditure - Intergovernmental Expenditure - To Local Government - Police Protection","002","State","2103260","0.00",
"2022","0100000US","United States","SF0179","Expenditure - Intergovernmental Expenditure - To Local Government - Protective Inspection and Regulation, NEC","002","State","1949105","0.00",
"2022","0100000US","United States","SF0182","Expenditure - Intergovernmental Expenditure - To Local Government - Public Welfare - Other","002","State","97470783","0.00",
"2022","0100000US","United States","SF0183","Expenditure - Intergovernmental Expenditure - To Local Government - Sewerage","002","State","2002053","0.00",
"2022","0100000US","United States","SF0184","Expenditure - Intergovernmental Expenditure - To Local Government - Solid Waste Management","002","State","1621967","0.00",
"2022","0100000US","United States","SF0185","Expenditure - Intergovernmental Expenditure - To Local Government - Sea and Inland Port Facilities","002","State","148974","0.00",
"2022","0100000US","United States","SF0186","Expenditure - Intergovernmental Expenditure - To Local Government - Other and Unallocable","002","State","45995074","0.00",
"2022","0100000US","United States","SF0191","Expenditure - Intergovernmental Expenditure - To Local Government - To Independent School Districts - Elementary and Secondary Education","002","State","381354475","0.00",
"2022","0100000US","United States","SF0192","Expenditure - Intergovernmental Expenditure - To Local Government - To Local School Districts - Other Higher Education","002","State","15151096","0.00",
"2022","0100000US","United States","SF0194","Expenditure - Intergovernmental Expenditure - To Federal Government - Other and Unallocable","002","State","3408647","0.00",
"2022","0100000US","United States","SF0195","Expenditure - Total Direct Expenditure","002","State","2054062818","0.00",
"2022","0100000US","United States","SF0196","Expenditure - Direct Expenditure - Total General Expenditure","002","State","2008756775","0.00",
"2022","0100000US","United States","SF0197","Expenditure - Direct Expenditure - Total Current Operations","002","State","1806209361","0.00",
"2022","0100000US","United States","SF0198","Expenditure - Direct Expenditure - Total Capital Outlay","002","State","147092380","0.00",
"2022","0100000US","United States","SF0199","Exhibit - Salaries and Wages","002","State","315309420","0.00",
"2022","0100000US","United States","SF0200","Expenditure - Direct Expenditure - General Expenditure - Total Air Transportation","002","State","2750086","0.00",
"2022","0100000US","United States","SF0201","Expenditure - Direct Expenditure - General Expenditure - Air Transportation - Current Operations","002","State","1479951","0.00",
"2022","0100000US","United States","SF0202","Expenditure - Direct Expenditure - General Expenditure - Air Transportation - Capital Outlay/Construction","002","State","1270135","0.00",
"2022","0100000US","United States","SF0205","Expenditure - Direct Expenditure - General Expenditure - Total Miscellaneous Commercial Activities, NEC","002","State","1932304","0.00",
"2022","0100000US","United States","SF0206","Expenditure - Direct Expenditure - General Expenditure - Miscellaneous Commercial Activities, NEC - Current Operations","002","State","1783915","0.00",
"2022","0100000US","United States","SF0207","Expenditure - Direct Expenditure - General Expenditure - Miscellaneous Commercial Activities, NEC - Capital Outlay/Construction","002","State","148389","0.00",
"2022","0100000US","United States","SF0210","Expenditure - Direct Expenditure - General Expenditure - Total Correctional Institutions","002","State","53014023","0.00",
"2022","0100000US","United States","SF0211","Expenditure - Direct Expenditure - General Expenditure - Correctional Institutions - Current Operations","002","State","51784541","0.00",
"2022","0100000US","United States","SF0212","Expenditure - Direct Expenditure - General Expenditure - Correctional Institutions - Capital Outlay/Construction","002","State","1229482","0.00",
"2022","0100000US","United States","SF0215","Expenditure - Direct Expenditure - General Expenditure - Total Other Corrections","002","State","8544987","0.00",
"2022","0100000US","United States","SF0216","Expenditure - Direct Expenditure - General Expenditure - Other Corrections - Current Operations","002","State","8381903","0.00",
"2022","0100000US","United States","SF0217","Expenditure - Direct Expenditure - General Expenditure - Other Corrections - Capital Outlay/Construction","002","State","163084","0.00",
"2022","0100000US","United States","SF0220","Expenditure - Direct Expenditure - General Expenditure - Total Elementary and Secondary Education","002","State","23124443","0.00",
"2022","0100000US","United States","SF0221","Expenditure - Direct Expenditure - General Expenditure - Elementary and Secondary Education - Current Operations","002","State","22282258","0.00",
"2022","0100000US","United States","SF0222","Expenditure - Direct Expenditure - General Expenditure - Elementary and Secondary Education - Capital Outlay/Construction","002","State","842185","0.00",
